measure_id,name,description,owner_id,implementation_date,cost,organizational_unit_id
186,Upgrade Chemical Container Closure and Transport Procedures,All acetone and solvent containers will be fitted with secondary containment caps featuring dual-lock mechanisms to prevent accidental dislodgement. Transport dollies will be upgraded with vibration-dampening suspension systems. Chemical inventory staff will complete re-certification training on proper bung sealing techniques and verification procedures. A new protocol will require visual inspection of bung security before every transport operation. Spill kits will be positioned within 10 meters of all chemical storage areas with monthly functionality checks documented.,1136,2021-06-10,24500.0,136
187,Install Fixed Spill Containment and Ventilation Enhancement,"Secondary containment bunding will be installed under all elevated solvent storage areas, designed to hold 110% of the largest container volume. The existing ventilation system will be upgraded to include real-time volatile organic compound (VOC) sensors with automatic activation of backup extraction fans when thresholds are exceeded. A permanent spill containment station with integrated absorbent materials and collection receptacles will be established. These engineering controls prevent environmental contamination and reduce exposure risk.",1136,2021-07-04,78000.0,136
188,Install Real-Time VOC Monitoring System,Install continuous volatile organic compound (VOC) monitoring sensors in all injection molding clean rooms with audible and visual alarms when solvent vapor concentrations exceed 50% of the OSHA permissible exposure limit. The system will automatically trigger increased exhaust ventilation and alert operators to cease spraying operations until safe levels are restored. This engineering control directly addresses inadequate ventilation by providing real-time feedback and automated response capability.,1084,2020-11-13,18500.0,128
189,Implement Pre-Spraying Ventilation Protocol,Establish mandatory administrative procedure requiring all employees to activate overhead exhaust systems and verify minimum airflow for 30 seconds before beginning any mold release agent application. Post laminated checklist cards at each spraying station. Train all production and maintenance staff on the new protocol during the next monthly safety meeting. Include verification in daily shift handover procedures and supervisor spot-checks.,1107,2020-10-26,2100.0,128
190,Upgrade to Low-VOC Mold Release Agents,Substitute current solvent-based mold release agents with water-based or low-VOC formulations that maintain the same performance characteristics but reduce inhalation hazard by 80%. Coordinate with materials management to phase in new products over 90 days while maintaining production schedules. Conduct comparative testing to ensure final product quality is not compromised.,1093,2020-12-07,12000.0,128
191,Install Secondary Containment Bunding,Replace existing open pallet storage system with enclosed secondary containment units featuring integrated drip trays sized for 110% of the largest container volume. Install for all drums over 30 gallons in the chemical storage area. Add absorbent material dispensers at each station and clearly mark containment zones with yellow warning lines. This engineering control prevents environmental release by capturing any spills before they reach storm water systems.,1062,2019-09-16,28000.0,140
192,Implement Inventory Restraint and Verification Program,"Install drum restraint straps on all raised pallet storage and require two-point verification before any drum movement. Create laminated checklist requiring visual inspection of drum condition, secure positioning, and strap integrity before handling. Train all materials handlers (Mélanie Fortin and Nicole Proulx) on proper restraint techniques. Conduct monthly audits of all chemical storage areas with photographic documentation.",1107,2019-09-09,3500.0,140
193,Upgrade Storm Water Pre-Treatment System,Install oil-water separator with automated shutoff valve in the storm drain line from chemical storage area. System will divert contaminated water to secondary treatment tank for proper disposal rather than environmental release. Conduct quarterly maintenance and testing. This engineering control prevents environmental contamination even if spill containment procedures fail.,1084,2019-10-07,42000.0,140
194,Establish Dedicated Pedestrian Walkways with Floor Markings,"Paint bright yellow and white striped pedestrian walkways (48 inches wide) from the packaging station to designated loading zones. Install waist-height protective barriers along the dock edge to physically separate pedestrians from equipment zones. Add edge protection bumpers to all forklift access points. These engineering controls create physical separation between pedestrians and mobile equipment, eliminating the collision hazard entirely.",1062,2019-11-04,8500.0,144
195,Implement Three-Point Communication Protocol,"Establish mandatory radio communication procedure where forklift operators must announce their movements and direction before relocating equipment. Spotters must confirm receipt and relay all-clear before movement begins. All dock personnel must carry communication headsets. Conduct training for Raymond Tessier, Lucia Martinez, and all dock staff. Include protocol in daily safety briefing and enforce through supervisor observations.",1101,2019-10-27,4200.0,144
196,Implement Daily Hydraulic System Inspections,"Establish a mandatory daily inspection protocol for all injection molding lines focusing on hydraulic pressure readings, hose connections, and fluid leaks. Machine operators and setters will document gauge readings on a checklist at shift start and mid-shift. Any pressure fluctuations exceeding ±10 PSI from specification will trigger immediate shutdown and maintenance review. Training will be provided to all production staff on recognizing abnormal pressure patterns. This addresses the root cause of undetected gradual pressure drift.",1105,2024-10-26,8500.0,128
197,Replace All Hydraulic Connections with Redundant Coupling Systems,"Upgrade all hydraulic line connections on Lines A, C, and D with redundant quick-disconnect couplings that automatically shut off flow when separation occurs. This engineering control eliminates the hazard of pressurized fluid release during connection failure. Installation will be completed over two weeks during scheduled maintenance windows. Expected outcome is zero hydraulic spray incidents from connection failures.",1105,2024-11-02,45000.0,128
198,Replace Wooden Pallets with Plastic Pallets in Production Areas,"Phase out all weathered wooden pallets used in production zones A, C, and D and replace with food-grade plastic pallets that eliminate splinter hazards entirely. Plastic pallets are more durable, easier to clean for medical device production, and reduce maintenance costs. Purchase will begin immediately for gradual replacement over 60 days. This elimination control removes the hazard at its source rather than relying on employee awareness.",1139,2021-07-19,28000.0,129
199,Implement Dual-Authorization Lockout/Tagout Protocol,"Establish a mandatory two-person verification system for all machinery maintenance on CNC, injection molding, and milling equipment. Both the maintenance technician and the shift supervisor must independently verify equipment de-energization using a checklist before work commences. A physical lock mechanism must be placed on the main disconnect switch by both parties simultaneously. Training will be mandatory for all maintenance and production staff within 5 days. This administrative control eliminates miscommunication incidents.",1107,2018-02-15,12000.0,137
200,Install Automatic Machine Stop Sensors on All CNC Equipment,Retrofit all CNC milling machines and precision equipment with pressure-sensitive safety mats and proximity sensors that automatically halt spindle rotation if human contact is detected. These engineering controls provide redundant protection against entanglement injuries. Installation will be prioritized for all equipment in the maintenance workshop over the next 30 days. Expected outcome is elimination of entanglement-related injuries through automatic shutdown.,1105,2018-03-14,185000.0,137
201,Mandatory Refresher Training on LOTO Procedures,"Conduct comprehensive refresher training for all maintenance and production supervision staff on lockout/tagout procedures, hazard recognition, and communication protocols. Training will include case studies of similar incidents and emphasis on the dual-authorization requirement. All personnel must complete within 10 days and pass written assessment. Sessions will be held during shifts to ensure 100% participation. This administrative control reinforces proper procedures.",1107,2018-02-19,6500.0,147
202,Install Dual-Redundant Temperature Control System,"Replace the single thermostat relay with a dual-channel temperature monitoring system featuring redundant sensors and automated shutoff valves. The new system will include continuous digital temperature display, automatic alert notifications when temperatures exceed 30°C, and fail-safe valve closure if both sensors detect abnormal readings. Installation will include quarterly calibration audits and real-time integration with the facility's main fire alarm system. This engineering control eliminates the single point of failure that led to the solvent cabinet overheating.",1102,2023-08-29,18500.0,135
