event_id,person_id,involvement_type
80,1136,Victim
80,1139,Responder
82,1021,Victim
82,1058,Witness
82,1101,Responder
83,1093,Victim
83,1019,Victim
83,1084,Responder
84,1066,Victim
84,1143,Witness
84,1150,Responder
85,1048,Victim
85,1037,Responder
86,1110,Victim
86,1070,Witness
86,1069,Responder
87,1105,Victim
87,1037,Witness
87,1154,Responder
88,1136,Victim
88,1102,Responder
89,1114,Victim
89,1028,Responder
90,1182,Victim
90,1174,Witness
90,1136,Responder
91,1030,Victim
92,1027,Victim
92,1065,Responder
93,1174,Victim
94,1083,Victim
94,1100,Witness
96,1160,Victim
96,1093,Victim
96,1082,Victim
97,1060,Victim
97,1052,Responder
98,1167,Victim
98,1010,Responder
99,1096,Victim
99,1139,Witness
99,1052,Responder
100,1050,Victim
100,1130,Victim
100,1103,Witness
100,1150,Witness
101,1171,Victim
101,1103,Witness
102,1139,Responder
102,1086,Victim
103,1016,Victim
103,1100,Witness
104,1176,Victim
104,1035,Responder
105,1119,Victim
106,1029,Victim
106,1103,Witness
106,1004,Responder
107,1035,Witness
107,1121,Witness
107,1004,Responder
108,1044,Victim
108,1037,Responder
108,1115,Responder
109,1170,Victim
109,1071,Responder
110,1022,Victim
110,1030,Responder
110,1191,Responder
111,1030,Victim
111,1121,Witness
111,1027,Responder
111,1052,Responder
112,1060,Victim
112,1162,Witness
112,1052,Responder
113,1182,Victim
113,1052,Responder
114,1075,Witness
114,1002,Responder
114,1057,Responder
115,1057,Responder
115,1021,Witness
116,1029,Victim
116,1090,Responder
117,1179,Responder
117,1062,Witness
118,1130,Victim
118,1150,Witness
119,1127,Victim
119,1016,Responder
119,1018,Responder
120,1156,Victim
120,1056,Responder
121,1127,Victim
121,1037,Responder
121,1046,Witness
122,1136,Responder
122,1064,Witness
122,1182,Witness
122,1185,Responder
123,1182,Victim
123,1188,Witness
123,1037,Responder
124,1191,Victim
124,1098,Witness
125,1194,Victim
125,1108,Witness
125,1139,Responder
126,1165,Victim
126,1057,Responder
127,1098,Victim
127,1070,Witness
127,1052,Responder
128,1187,Victim
128,1147,Witness
128,1052,Responder
129,1055,Victim
129,1016,Responder
129,1052,Responder
130,1044,Victim
130,1081,Witness
131,1171,Victim
131,1101,Responder
132,1136,Witness
132,1126,Witness
133,1027,Victim
133,1146,Witness
134,1086,Witness
134,1151,Responder
136,1040,Victim
136,1037,Responder
136,1148,Witness
137,1120,Victim
137,1065,Witness
138,1060,Victim
138,1037,Responder
138,1148,Witness
139,1159,Victim
139,1058,Witness
139,1140,Responder
140,1020,Victim
140,1016,Responder
140,1102,Responder
141,1073,Witness
141,1185,Responder
141,1084,Responder
142,1159,Victim
142,1154,Victim
143,1066,Victim
143,1101,Responder
144,1036,Victim
144,1005,Responder
145,1159,Victim
145,1141,Witness
146,1103,Victim
146,1114,Witness
147,1064,Witness
147,1021,Responder
148,1135,Victim
148,1014,Responder
149,1078,Victim
149,1056,Witness
150,1011,Witness
151,1029,Victim
151,1074,Witness
151,1015,Responder
152,1178,Victim
152,1077,Responder
153,1054,Witness
153,1197,Responder
154,1190,Victim
154,1004,Witness
154,1007,Responder
155,1156,Victim
155,1128,Witness
155,1115,Responder
156,1190,Victim
156,1115,Responder
156,1007,Responder
157,1165,Victim
157,1135,Witness
157,1004,Responder
158,1082,Witness
158,1168,Responder
159,1167,Responder
159,1179,Responder
160,1186,Victim
160,1119,Witness
161,1029,Victim
161,1037,Responder
162,1082,Victim
162,1170,Witness
163,1110,Victim
163,1170,Responder
164,1150,Witness
164,1133,Responder
165,1151,Responder
165,1178,Witness
166,1162,Victim
166,1117,Witness
167,1174,Victim
167,1147,Witness
167,1018,Responder
168,1047,Victim
168,1147,Witness
168,1099,Responder
169,1182,Victim
169,1003,Responder
170,1114,Victim
170,1057,Responder
171,1186,Victim
171,1003,Responder
172,1044,Victim
172,1140,Responder
172,1025,Responder
173,1050,Victim
173,1118,Responder
173,1048,Witness
174,1036,Victim
174,1031,Responder
175,1109,Victim
175,1026,Witness
175,1090,Responder
176,1092,Victim
176,1147,Responder
177,1096,Victim
177,1039,Responder
178,1127,Victim
178,1045,Witness
178,1052,Responder
179,1082,Victim
179,1045,Witness
179,1052,Responder
180,1131,Victim
180,1052,Responder
